








,Timestamp: 2026-01-31 14:13:14
,control_id,control_title,control_description,key_control,hierarchy_level,parent_control_id,preventative_detective,manual_automated,execution_frequency,four_eyes_check,evidence_description,evidence_available_from,performance_measures_required,performance_measures_available_from,control_status,valid_from,valid_until,reason_for_deactivation,status_updates,last_modified_on,group_id,group_name,division_id,division_name,unit_id,unit_name,area_id,area_name,sector_id,sector_name,segment_id,segment_name,function_id,function_name,l0_location_id,l0_location_name,region_id,region_name,sub_region_id,sub_region_name,country_id,country_name,company_id,company_short_name,control_owner,control_owner_gpn,control_instance_owner_role,control_administrator,control_administrator_gpn,control_delegate,control_delegate_gpn,control_assessor,control_assessor_gpn,is_assessor_control_owner,sox_relevant,ccar_relevant,bcbs239_relevant,ey_reliant,sox_rationale,local_functional_information,kpci_governance_forum,financial_statement_line_item,it_application_system_supporting,additional_information_on_deactivation,control_created_by,control_created_by_gpn,control_created_on,last_control_modification_requested_by,last_control_modification_requested_by_gpn,last_modification_on,control_status_date_change,category_flags,sox_assertions,risk_themes,risk_theme_taxonomy_numbers,risk_theme_numbers,related_function_ids,related_function_names,related_functions_comments,related_location_ids,related_location_names,related_locations_comments
,CTRL-3746317213,Suspicious Activity Reporting Control - Group Functions,This control monitors suspicious activity reporting - group functions activities to detect and prevent financial crime.,False,Level 1,nan,2nd Line Detective,Manual,Weekly,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for suspicious activity reporting control - group functions.",2021-02-11,True,2021-03-13,Active,2021-02-11,nan,nan,Last reviewed on 2025-07-07. Control operating effectively.,2025-07-07 00:00:00,N00000,All Functions,N40000,Group Functions,N40100,Group Risk Control,N40110,Non-Financial Risk,N40111,Operational Risk,N40112,Risk Assessment,N40113,Control Testing,N0000,UBS Group AG (Regional),APAC,Asia Pacific,SAP,Asia Pacific,C344,Hong Kong,4100,UBS AG Hong Kong Branch,Evelyn Wilson,64547971,Director,Andrew Thomas,63826716,nan,nan,Sophia Wilson,60864911,False,True,True,True,False,Control is SOX relevant due to impact on financial reporting for Group Functions.,Local requirements for Hong Kong operations.,Technology Committee,Derivatives,Bloomberg,nan,Karen Lopez,30776478,2021-01-24,nan,nan,2025-07-07,nan,Financial Reporting Control,Existence,Financial Crime Prevention,3,3.1,"N40213, N40313, N14963","DevOps, Transaction Monitoring, Deal Execution",Control applies to multiple functions within Group Functions.,2210,UBS Europe SE Frankfurt,Control deployed across Asia Pacific region.
,CTRL-9697354961,Master Data Management Control - Investment Bank,This control ensures data integrity through master data management - investment bank.,False,Level 1,nan,Preventative,Automated,Annually,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for master data management control - investment bank.",2020-10-01,False,2020-10-31,Active,2020-10-01,nan,nan,Last reviewed on 2024-05-19. Control operating effectively.,2024-05-19 00:00:00,N00000,All Functions,N10000,Investment Bank,N14952,Investment Banking,N14960,Advisory,N14961,M&A,N14962,Cross Border M&A,N14963,Deal Execution,N0000,UBS Group AG (Regional),EMEA,Europe Middle East Africa,SGE,Germany & Austria,C276,Germany,2210,UBS Europe SE Frankfurt,William Smith,71510041,Managing Director,Brian Miller,19832887,nan,nan,nan,nan,False,True,False,False,True,Control is SOX relevant due to impact on financial reporting for Investment Bank.,nan,Audit Committee,Derivatives,SAP,nan,Evelyn Kumar,48250360,2020-09-02,nan,50603163,2024-05-19,2024-05-19,Manual Control,"Completeness, Classification, Valuation","Data Management, Process Execution, Financial Crime Prevention","1, 8, 3","1.3, 8.1, 3.1",N10122,Options Trading,Control applies to multiple functions within Investment Bank.,"1000, 4300, 4200","UBS AG Zurich, UBS Securities Japan Co Ltd, UBS AG Singapore Branch",Control deployed across Europe Middle East Africa region.
,CTRL-2181241943,Gift and Entertainment Approval Control - Group Functions,This control manages gift and entertainment approval - group functions to ensure appropriate employee behavior.,True,Level 1,nan,Preventative,IT Dependent Manual,Event Triggered,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for gift and entertainment approval control - group functions.",2022-11-17,False,nan,Active,2022-11-17,nan,nan,Last reviewed on 2024-05-29. Control operating effectively.,2024-05-29 00:00:00,N00000,All Functions,N40000,Group Functions,N40400,Group Finance,N40410,Financial Reporting,N40411,Regulatory Reporting,N40412,Capital Reporting,N40413,Capital Calculations,N0000,UBS Group AG (Regional),AMER,Americas,SNA,North America,C840,United States,3100,UBS Securities LLC,Karen Smith,25015458,Business Manager,Charlotte Williams,59555330,nan,nan,Nancy Martinez,67684996,False,False,False,False,False,nan,nan,Risk Committee,Derivatives,Murex,nan,Evelyn Miller,57469942,2022-11-01,Christopher Martinez,41774346,2024-05-29,2024-05-29,"IT General Control, Key Control",nan,"Conduct Risk, Intragroup Dependencies, Process Execution","4, 2, 8","4.1, 2.3, 8.1",N30113,Portfolio Management,Control applies to multiple functions within Group Functions.,"3100, 1000","UBS Securities LLC, UBS AG Zurich",Control deployed across Americas region.
,CTRL-1958682846,Privileged Access Management Control - Investment Bank,This control validates that privileged access management - investment bank requirements are met and monitored.,True,Level 1,nan,Detective,Manual,Daily,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for privileged access management control - investment bank.",2021-03-11,False,nan,Active,2021-03-11,nan,nan,Last reviewed on 2025-07-31. Control operating effectively.,2025-07-31 00:00:00,N00000,All Functions,N10000,Investment Bank,N14952,Investment Banking,N14960,Advisory,N14961,M&A,N14962,Cross Border M&A,N14963,Deal Execution,N0000,UBS Group AG (Regional),EMEA,Europe Middle East Africa,SGE,Germany & Austria,C276,Germany,2210,UBS Europe SE Frankfurt,Kevin Wang,13704481,Business Manager,Michael Anderson,87925434,nan,nan,Michael Williams,24549543,False,False,False,False,False,nan,nan,Operating Committee,Loans,Reuters,nan,Joshua Davis,61700055,2021-02-12,Alexander Mueller,nan,2025-07-31,nan,"Financial Reporting Control, IT General Control",nan,"Cyber and Information Security, Regulatory Change","1, 5","1.2, 5.3",N30113,Portfolio Management,Control applies to multiple functions within Investment Bank.,"4100, 4300, 2100","UBS AG Hong Kong Branch, UBS Securities Japan Co Ltd, UBS AG London Branch",Control deployed across Europe Middle East Africa region.
,CTRL-4163119785,Compliance Training Completion Control - Global Wealth Management,This control ensures compliance training completion - global wealth management requirements are met with proper documentation.,True,Level 1,nan,Detective,IT Dependent Manual,Semi-Annually,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for compliance training completion control - global wealth management.",2023-02-14,True,nan,Active,2023-02-14,nan,nan,Last reviewed on 2024-01-28. Control operating effectively.,2024-01-28 00:00:00,N00000,All Functions,N20000,Global Wealth Management,N20200,High Net Worth,N20210,Wealth Planning,N20211,Tax Advisory,N20212,Estate Planning,N20213,Trust Services,N0000,UBS Group AG (Regional),AMER,Americas,SNA,North America,C840,United States,3200,UBS Financial Services Inc,Harper Wright,32775593,Business Manager,David Wang,22534217,nan,nan,Evelyn Fischer,40150759,True,True,False,False,False,Control is SOX relevant due to impact on financial reporting for Global Wealth Management.,nan,Technology Committee,Deposits,nan,nan,William King,65625330,2023-02-09,Brian Taylor,61536717,2024-01-28,nan,"CCAR Control, Key Control",Cutoff,"Regulatory Compliance, Conduct Risk, Client Suitability","5, 4, 4","5.1, 4.1, 4.3",N14963,Deal Execution,Control applies to multiple functions within Global Wealth Management.,"4300, 2100, 3200","UBS Securities Japan Co Ltd, UBS AG London Branch, UBS Financial Services Inc",Control deployed across Americas region.
,CTRL-9963334018,Vendor Exit Planning Control - Global Wealth Management,This control ensures that vendor exit planning - global wealth management is performed according to established procedures.,True,Level 1,nan,2nd Line Detective,IT Dependent Manual,Intraday,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for vendor exit planning control - global wealth management.",2023-03-10,True,nan,Active,2023-03-10,nan,nan,Last reviewed on 2024-10-11. Control operating effectively.,2024-10-11 00:00:00,N00000,All Functions,N20000,Global Wealth Management,N20100,Ultra High Net Worth,N20110,Private Banking,N20111,Client Advisory,N20112,Portfolio Management,N20113,Investment Advisory,N0000,UBS Group AG (Regional),EMEA,Europe Middle East Africa,SGE,Germany & Austria,C276,Germany,2210,UBS Europe SE Frankfurt,Evelyn Schmidt,69038700,Business Manager,David Jackson,46468984,nan,nan,nan,nan,False,True,True,False,False,Control is SOX relevant due to impact on financial reporting for Global Wealth Management.,Local requirements for Germany operations.,Risk Committee,Trading Assets,Murex,nan,Daniel White,30509175,2023-02-18,William Martin,nan,2024-10-11,2024-10-11,"Key Control, BCBS239 Control, IT General Control, Manual Control",Cutoff,"Third Party Management, Legal Risk","2, 5","2.1, 5.2","N10112, N30113","Electronic Trading, Portfolio Management",Control applies to multiple functions within Global Wealth Management.,"4200, 4300","UBS AG Singapore Branch, UBS Securities Japan Co Ltd",Control deployed across Europe Middle East Africa region.
,CTRL-2812140441,Enhanced Due Diligence Control - Group Functions,This control monitors enhanced due diligence - group functions activities to detect and prevent financial crime.,True,Level 1,nan,2nd Line Detective,IT Dependent Manual,Monthly,True,"Evidence includes system screenshots, approval emails, and reconciliation reports for enhanced due diligence control - group functions.",2022-09-22,True,2022-10-22,Active,2022-09-22,nan,nan,Last reviewed on 2025-03-07. Control operating effectively.,2025-03-07 00:00:00,N00000,All Functions,N40000,Group Functions,N40100,Group Risk Control,N40110,Non-Financial Risk,N40111,Operational Risk,N40112,Risk Assessment,N40113,Control Testing,N0000,UBS Group AG (Regional),AMER,Americas,SNA,North America,C840,United States,3100,UBS Securities LLC,Linda Rodriguez,71968116,Team Lead,Sophia Mueller,60882459,nan,nan,Robert Thomas,71028710,False,True,False,False,True,Control is SOX relevant due to impact on financial reporting for Group Functions.,nan,Technology Committee,Derivatives,nan,nan,Isabella Wright,12601580,2022-09-21,Sophia Li,nan,2025-03-07,nan,Key Control,"Rights and Obligations, Cutoff","Financial Crime Prevention, Anti-Money Laundering","3, 3","3.1, 3.2",N40413,Capital Calculations,Control applies to multiple functions within Group Functions.,3100,UBS Securities LLC,Control deployed across Americas region.
,CTRL-1127978094,Capacity Planning Review Control - Investment Bank,This control ensures that capacity planning review - investment bank processes are executed according to established procedures.,True,Level 1,nan,Preventative,Manual,Semi-Annually,False,"Evidence includes system screenshots, approval emails, and reconciliation reports for capacity planning review control - investment bank.",2023-12-12,False,nan,Active,2023-12-12,nan,nan,Last reviewed on 2025-01-25. Control operating effectively.,2025-01-25 00:00:00,N00000,All Functions,N10000,Investment Bank,N14952,Investment Banking,N14960,Advisory,N14961,M&A,N14962,Cross Border M&A,N14963,Deal Execution,N0000,UBS Group AG (Regional),APAC,Asia Pacific,SAP,Asia Pacific,C392,Japan,4300,UBS Securities Japan Co Ltd,Evelyn Miller,50477742,Managing Director,Mia Williams,56600900,Kevin Thompson,98787891,Maria Jones,77908907,False,False,True,False,False,nan,nan,Technology Committee,Loans,SAP,nan,Linda Kumar,95306788,2023-12-03,Barbara Martinez,nan,2025-01-25,2025-01-25,"Automated Control, Manual Control, Application Control",nan,"Technology Change Management, Operational Resilience, Intragroup Dependencies","1, 6, 2","1.4, 6.3, 2.3","N40113, N20213","Control Testing, Trust Services",Control applies to multiple functions within Investment Bank.,"3100, 4200","UBS Securities LLC, UBS AG Singapore Branch",Control deployed across Asia Pacific region.
,CTRL-1939042955,PEP Screening Control - Investment Bank,This control monitors pep screening - investment bank activities to detect and prevent financial crime.,False,Level 1,nan,1st Line Detective,Manual,Intraday,False,"Evidence includes system screenshots, approval emails, and reconciliation reports for pep screening control - investment bank.",2023-06-25,True,nan,Active,2023-06-25,nan,nan,Last reviewed on 2025-02-15. Control operating effectively.,2025-02-15 00:00:00,N00000,All Functions,N10000,Investment Bank,N10007,Global Markets,N10100,Equities,N10120,Derivatives,N10121,Flow Derivatives,N10122,Options Trading,N0000,UBS Group AG (Regional),AMER,Americas,SNA,North America,C840,United States,3200,UBS Financial Services Inc,Isabella Jackson,64549859,Director,Karen Jackson,73900135,Susan Young,12314351,Isabella Weber,39742165,False,False,False,True,False,nan,nan,Compliance Committee,Derivatives,Bloomberg,nan,Karen Li,67110154,2023-06-03,Karen Wang,nan,2025-02-15,nan,"Regulatory Control, BCBS239 Control, SOX Control",nan,"Financial Crime Prevention, Legal Risk","3, 5","3.1, 5.2","N20113, N30113, N10122","Investment Advisory, Portfolio Management, Options Trading",Control applies to multiple functions within Investment Bank.,"1000, 2210, 4200","UBS AG Zurich, UBS Europe SE Frankfurt, UBS AG Singapore Branch",Control deployed across Americas region.
,CTRL-9703905715,Incident Management Escalation Control - Group Functions,This control ensures that incident management escalation - group functions is performed according to established procedures.,False,Level 1,nan,1st Line Detective,Manual,Monthly,False,"Evidence includes system screenshots, approval emails, and reconciliation reports for incident management escalation control - group functions.",2020-08-20,True,2020-09-19,Active,2020-08-20,nan,nan,Last reviewed on 2024-02-02. Control operating effectively.,2024-02-02 00:00:00,N00000,All Functions,N40000,Group Functions,N40200,Group Technology,N40210,Infrastructure,N40211,Cloud Services,N40212,Platform Engineering,N40213,DevOps,N0000,UBS Group AG (Regional),AMER,Americas,SNA,North America,C840,United States,3200,UBS Financial Services Inc,Brian Weber,73001391,Director,Matthew Wang,34744872,Sophia Mueller,74119726,nan,nan,False,True,False,True,False,Control is SOX relevant due to impact on financial reporting for Group Functions.,nan,Technology Committee,Revenue,Reuters,nan,Sophia Martinez,30024960,2020-07-24,Jennifer Garcia,25898299,2024-02-02,2024-02-02,"Automated Control, BCBS239 Control, IT General Control, Manual Control","Presentation and Disclosure, Cutoff, Classification, Rights and Obligations","Operational Resilience, Business Continuity, Talent and Resource Management","6, 6, 7","6.3, 6.1, 7.1","N40413, N10112","Capital Calculations, Electronic Trading",Control applies to multiple functions within Group Functions.,"2210, 4200, 4300","UBS Europe SE Frankfurt, UBS AG Singapore Branch, UBS Securities Japan Co Ltd",Control deployed across Americas region.
