,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Timestamp: 2026-01-25 15:12:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,control_id,control_title,control_description,key_control,hierarchy_level,parent_control_id,preventative_detective,manual_automated,execution_frequency,four_eyes_check,evidence_description,evidence_available_from,performance_measures_required,performance_measures_available_from,control_status,valid_from,valid_until,reason_for_deactivation,status_updates,last_modified_on,group_id,group_name,division_id,division_name,unit_id,unit_name,area_id,area_name,sector_id,sector_name,segment_id,segment_name,function_id,function_name,l0_location_id,l0_location_name,region_id,region_name,sub_region_id,sub_region_name,country_id,country_name,company_id,company_short_name,control_owner,control_owner_gpn,control_instance_owner_role,control_administrator,control_administrator_gpn,control_delegate,control_delegate_gpn,control_assessor,control_assessor_gpn,is_assessor_control_owner,sox_relevant,ccar_relevant,bcbs239_relevant,ey_reliant,sox_rationale,local_functional_information,kpci_governance_forum,financial_statement_line_item,it_application_system_supporting,additional_information_on_deactivation,control_created_by,control_created_by_gpn,control_created_on,last_control_modification_requested_by,last_control_modification_requested_by_gpn,last_modification_on,control_status_date_change,category_flags,sox_assertions,risk_themes,related_function_ids,related_function_names,related_functions_comments,related_location_ids,related_location_names
,CTRL-3746317213,Suspicious Activity Reporting Control - Group Functions,This control monitors suspicious activity reporting - group functions activities to detect and prevent financial crime. Compliance teams review alerts and escalate suspicious activities as required.,FALSE,Level 1,,Detective,Manual,Event Triggered,TRUE,"Evidence includes system screenshots, approval emails, and reconciliation reports for suspicious activity reporting control - group functions.",2021-02-11 0:00:00,FALSE,,Active,2021-02-11 0:00:00,,,Last reviewed on 2025-07-07. Control operating effectively.,2025-07-07 00:00:00,N00000,All Functions,N40000,Group Functions,N40100,Group Risk Control,N40110,Non-Financial Risk,N40111,Operational Risk,N40112,Risk Assessment,N40113,Control Testing,N0000,UBS Group AG (Regional),APAC,Asia Pacific,SAP,Asia Pacific,C344,Hong Kong,4100,UBS AG Hong Kong Branch,Amelia Schmidt,72092888,Director,Evelyn Jones,69476001,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,Control is SOX relevant due to impact on financial reporting for Group Functions.,Local requirements for Hong Kong operations.,Technology Committee,Derivatives,Bloomberg,,Karen Miller,16789850,2021-01-24 0:00:00,Karen Lopez,,,2025-07-07 0:00:00,Financial Reporting Control,Existence,Financial Crime Prevention,"N40213, N40313, N14963","DevOps, Transaction Monitoring, Deal Execution",Control applies to multiple functions within Group Functions.,2210,UBS Europe SE Frankfurt
,CTRL-9697354961,Master Data Management Control - Investment Bank,This control ensures data integrity through master data management - investment bank. Data stewards validate accuracy and completeness of critical data elements on a regular basis.,FALSE,Level 1,,Preventative,Manual,Intraday,TRUE,"Evidence includes system screenshots, approval emails, and reconciliation reports for master data management control - investment bank.",2020-10-01 0:00:00,TRUE,,Active,2020-10-01 0:00:00,,,Last reviewed on 2024-05-19. Control operating effectively.,2024-05-19 00:00:00,N00000,All Functions,N10000,Investment Bank,N14952,Investment Banking,N14960,Advisory,N14961,M&A,N14962,Cross Border M&A,N14963,Deal Execution,N0000,UBS Group AG (Regional),EMEA,Europe Middle East Africa,SGE,Germany & Austria,C276,Germany,2210,UBS Europe SE Frankfurt,Oliver Garcia,66267415,Team Lead,Nancy Chen,44999379,,,John Jones,42787299,FALSE,FALSE,FALSE,FALSE,FALSE,,,Compliance Committee,,Calypso,,Harper Chen,42035886,2020-09-02 0:00:00,Jessica Smith,84437458,,2024-05-19 0:00:00,"Regulatory Control, SOX Control",,"Data Management, Process Execution, Financial Crime Prevention",N40313,Transaction Monitoring,Control applies to multiple functions within Investment Bank.,3200,UBS Financial Services Inc
,CTRL-2181241943,Gift and Entertainment Approval Control - Global Wealth Management,This control monitors and manages gift and entertainment approval - global wealth management to ensure appropriate employee behavior and client treatment.,FALSE,Level 1,,2nd Line Detective,IT Dependent Manual,Daily,FALSE,"Evidence includes system screenshots, approval emails, and reconciliation reports for gift and entertainment approval control - global wealth management.",2022-11-17 0:00:00,TRUE,2022-12-17 0:00:00,Active,2022-11-17 0:00:00,,,Last reviewed on 2024-05-29. Control operating effectively.,2024-05-29 00:00:00,N00000,All Functions,N20000,Global Wealth Management,N20200,High Net Worth,N20210,Wealth Planning,N20211,Tax Advisory,N20212,Estate Planning,N20213,Trust Services,N0000,UBS Group AG (Regional),AMER,Americas,SNA,North America,C840,United States,3100,UBS Securities LLC,Sophia Garcia,95132217,Senior Analyst,Linda Schmidt,15917225,,,,,FALSE,TRUE,FALSE,FALSE,TRUE,Control is SOX relevant due to impact on financial reporting for Global Wealth Management.,,Audit Committee,Revenue,Calypso,,James Wang,27558317,2022-11-01 0:00:00,,15354599,2024-05-29 0:00:00,,"SOX Control, Financial Reporting Control","Valuation, Completeness, Cutoff, Accuracy","Conduct Risk, Intragroup Dependencies, Process Execution","N10112, N14963","Electronic Trading, Deal Execution",Control applies to multiple functions within Global Wealth Management.,"4100, 4200, 3100","UBS AG Hong Kong Branch, UBS AG Singapore Branch, UBS Securities LLC"
,CTRL-1958682846,System Availability Monitoring Control - Global Wealth Management,This control ensures that system availability monitoring - global wealth management is performed according to established procedures and documented appropriately.,TRUE,Level 1,,1st Line Detective,Automated,Event Triggered,TRUE,"Evidence includes system screenshots, approval emails, and reconciliation reports for system availability monitoring control - global wealth management.",2022-03-22 0:00:00,TRUE,,Active,2022-03-22 0:00:00,,,Last reviewed on 2023-03-21. Control operating effectively.,2023-03-21 00:00:00,N00000,All Functions,N20000,Global Wealth Management,N20100,Ultra High Net Worth,N20110,Private Banking,N20111,Client Advisory,N20112,Portfolio Management,N20113,Investment Advisory,N0000,UBS Group AG (Regional),AMER,Americas,SNA,North America,C840,United States,3200,UBS Financial Services Inc,Daniel Taylor,71780854,Senior Analyst,John Fischer,40547349,,,Amelia Mueller,15134794,FALSE,FALSE,FALSE,TRUE,FALSE,,,Operating Committee,Loans,Reuters,,Daniel Johnson,98588154,2022-02-22 0:00:00,Mia White,35511941,,2023-03-21 0:00:00,Manual Control,,Transaction Processing,"N20113, N30113, N40113","Investment Advisory, Portfolio Management, Control Testing",Control applies to multiple functions within Global Wealth Management.,4100,UBS AG Hong Kong Branch
,CTRL-4163119785,Incident Management Escalation Control - Group Functions,This control ensures that incident management escalation - group functions processes are executed according to established procedures. The control owner reviews system logs and validates that all changes follow the approved change management process.,FALSE,Level 1,,1st Line Detective,Automated,Intraday,TRUE,"Evidence includes system screenshots, approval emails, and reconciliation reports for incident management escalation control - group functions.",2023-10-11 0:00:00,FALSE,,Active,2023-10-11 0:00:00,,,Last reviewed on 2024-10-30. Control operating effectively.,2024-10-30 00:00:00,N00000,All Functions,N40000,Group Functions,N40400,Group Finance,N40410,Financial Reporting,N40411,Regulatory Reporting,N40412,Capital Reporting,N40413,Capital Calculations,N0000,UBS Group AG (Regional),APAC,Asia Pacific,SAP,Asia Pacific,C344,Hong Kong,4100,UBS AG Hong Kong Branch,David Rodriguez,35748341,Team Lead,Christopher White,33357554,Isabella Weber,79182797,Margaret Wang,22534217,TRUE,TRUE,FALSE,FALSE,TRUE,Control is SOX relevant due to impact on financial reporting for Group Functions.,,Audit Committee,Trading Assets,Murex,,Margaret Fischer,64502486,2023-09-27 0:00:00,,,2024-10-30 0:00:00,2024-10-30 0:00:00,Application Control,"Rights and Obligations, Accuracy, Cutoff, Classification","Technology Change Management, Sanctions Compliance, Business Continuity","N40113, N20113","Control Testing, Investment Advisory",Control applies to multiple functions within Group Functions.,2100,UBS AG London Branch
,CTRL-9963334018,Personal Account Dealing Control - Investment Bank,This control ensures that personal account dealing - investment bank is performed according to established procedures and documented appropriately.,FALSE,Level 1,,Detective,IT Dependent Manual,Semi-Annually,TRUE,"Evidence includes system screenshots, approval emails, and reconciliation reports for personal account dealing control - investment bank.",2022-08-11 0:00:00,TRUE,2022-09-10 0:00:00,Active,2022-08-11 0:00:00,,,Last reviewed on 2024-05-25. Control operating effectively.,2024-05-25 00:00:00,N00000,All Functions,N10000,Investment Bank,N10007,Global Markets,N10100,Equities,N10120,Derivatives,N10121,Flow Derivatives,N10122,Options Trading,N0000,UBS Group AG (Regional),APAC,Asia Pacific,SAP,Asia Pacific,C702,Singapore,4200,UBS AG Singapore Branch,Mia King,27896471,Senior Analyst,Barbara Chen,69401199,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,,,Operating Committee,Derivatives,Reuters,,Margaret Thompson,83534128,2022-08-09 0:00:00,,,2024-05-25 0:00:00,,"SOX Control, IT General Control",,Outsourcing Risk,"N30113, N40313","Portfolio Management, Transaction Monitoring",Control applies to multiple functions within Investment Bank.,"4200, 2100","UBS AG Singapore Branch, UBS AG London Branch"
,CTRL-2812140441,System Availability Monitoring Control - Global Wealth Management,This control ensures that system availability monitoring - global wealth management is performed according to established procedures and documented appropriately.,TRUE,Level 1,,Detective,Automated,Monthly,TRUE,"Evidence includes system screenshots, approval emails, and reconciliation reports for system availability monitoring control - global wealth management.",2023-04-07 0:00:00,TRUE,2023-05-07 0:00:00,Inactive,2023-04-07 0:00:00,2024-12-26 0:00:00,Merged with another control,Deactivated on 2024-12-26.,2025-09-03 00:00:00,N00000,All Functions,N20000,Global Wealth Management,N20100,Ultra High Net Worth,N20110,Private Banking,N20111,Client Advisory,N20112,Portfolio Management,N20113,Investment Advisory,N0000,UBS Group AG (Regional),APAC,Asia Pacific,SAP,Asia Pacific,C702,Singapore,4200,UBS AG Singapore Branch,Thomas Martin,82238741,Business Manager,Kevin Moore,75529051,,,Linda Rodriguez,71968116,FALSE,FALSE,FALSE,FALSE,FALSE,,,Operating Committee,Trading Assets,Bloomberg,Replaced by CTRL-6698759353,Daniel Schmidt,68496914,2023-03-25 0:00:00,Thomas Schmidt,66581473,,,Manual Control,,"Operational Resilience, Transaction Processing",N30113,Portfolio Management,Control applies to multiple functions within Global Wealth Management.,2210,UBS Europe SE Frankfurt
,CTRL-1127978094,System Availability Monitoring Control - Investment Bank,This control ensures that system availability monitoring - investment bank is performed according to established procedures and documented appropriately.,FALSE,Level 1,,2nd Line Detective,Automated,Quarterly,FALSE,"Evidence includes system screenshots, approval emails, and reconciliation reports for system availability monitoring control - investment bank.",2023-07-01 0:00:00,TRUE,2023-07-31 0:00:00,Active,2023-07-01 0:00:00,,,Last reviewed on 2024-05-03. Control operating effectively.,2024-05-03 00:00:00,N00000,All Functions,N10000,Investment Bank,N10007,Global Markets,N10100,Equities,N10110,Cash Equities,N10111,Execution Services,N10112,Electronic Trading,N0000,UBS Group AG (Regional),EMEA,Europe Middle East Africa,SB,UK & Ireland,C782,United Kingdom,2100,UBS AG London Branch,Mia Thomas,72415804,Managing Director,Michael Kumar,32520277,,,Mia Williams,56600900,FALSE,TRUE,FALSE,FALSE,TRUE,Control is SOX relevant due to impact on financial reporting for Investment Bank.,,Operating Committee,Revenue,,,Edward Davis,31980274,2023-06-26 0:00:00,,,2024-05-03 0:00:00,,"CCAR Control, IT General Control, Automated Control, Financial Reporting Control","Classification, Rights and Obligations, Cutoff",Intragroup Dependencies,"N40413, N20213, N30113","Capital Calculations, Trust Services, Portfolio Management",Control applies to multiple functions within Investment Bank.,2210,UBS Europe SE Frankfurt
